datetime,temperature,wind,sunshine,precipitation
2019-07-09 07:00:00,10.0,0.7,0.0,0.0
2019-07-09 08:00:00,12.3,0.8,16.0,0.0
2019-07-09 09:00:00,14.8,3.2,60.0,0.0
2019-07-09 10:00:00,15.1,4.0,53.0,0.0
2019-07-09 11:00:00,16.6,4.3,9.0,0.0
2019-07-09 12:00:00,16.9,3.8,10.0,0.0
2019-07-09 13:00:00,17.3,4.2,10.0,0.0
2019-07-09 14:00:00,17.8,3.4,15.0,0.0
2019-07-09 15:00:00,18.5,2.7,15.0,0.0
2019-07-09 16:00:00,19.8,2.6,31.0,0.0
2019-07-09 17:00:00,20.2,4.0,42.0,0.0
2019-07-09 18:00:00,20.9,4.3,17.0,0.0
2019-07-09 19:00:00,19.4,4.3,45.0,0.0
2019-07-09 20:00:00,20.3,3.7,33.0,0.0
2019-07-09 21:00:00,18.8,4.1,48.0,0.0
2019-07-09 22:00:00,16.3,2.3,9.0,0.0
2019-07-09 23:00:00,14.0,1.2,0.0,0.0
2019-07-10 00:00:00,12.9,1.2,0.0,0.0
2019-07-10 01:00:00,10.9,0.9,0.0,0.0
2019-07-10 02:00:00,9.4,0.9,0.0,0.0
2019-07-10 03:00:00,8.1,1.4,0.0,0.0
2019-07-10 04:00:00,8.0,1.3,0.0,0.0
2019-07-10 05:00:00,7.4,1.6,0.0,0.0
2019-07-10 06:00:00,6.3,1.8,0.0,0.0
2019-07-10 07:00:00,6.9,2.0,0.0,0.0
2019-07-10 08:00:00,11.1,1.9,29.0,0.0
2019-07-10 09:00:00,12.8,1.4,56.0,0.0
2019-07-10 10:00:00,16.2,1.8,60.0,0.0
2019-07-10 11:00:00,18.3,1.2,60.0,0.0
2019-07-10 12:00:00,20.1,1.9,60.0,0.0
2019-07-10 13:00:00,21.9,2.2,60.0,0.0
2019-07-10 14:00:00,22.3,2.5,60.0,0.0
2019-07-10 15:00:00,24.0,2.8,60.0,0.0
2019-07-10 16:00:00,24.1,3.4,60.0,0.0
2019-07-10 17:00:00,23.8,3.7,60.0,0.0
2019-07-10 18:00:00,23.7,3.4,23.0,0.0
2019-07-10 19:00:00,23.3,3.8,4.0,0.0
2019-07-10 20:00:00,21.9,4.4,0.0,0.0
2019-07-10 21:00:00,19.7,4.7,0.0,0.0
2019-07-10 22:00:00,17.9,3.9,0.0,0.0
2019-07-10 23:00:00,16.2,3.7,0.0,0.0
2019-07-11 00:00:00,16.0,2.0,0.0,0.0
2019-07-11 01:00:00,15.3,1.5,0.0,0.0
2019-07-11 02:00:00,15.6,1.3,0.0,0.0
2019-07-11 03:00:00,14.8,1.5,0.0,0.3
2019-07-11 04:00:00,14.9,1.7,0.0,0.0
2019-07-11 05:00:00,14.8,2.2,0.0,0.0
2019-07-11 06:00:00,14.8,2.4,0.0,0.0
2019-07-11 07:00:00,15.0,2.3,0.0,0.0
2019-07-11 08:00:00,15.4,2.9,0.0,0.1
2019-07-11 09:00:00,16.1,2.6,0.0,0.0
2019-07-11 10:00:00,16.6,2.8,0.0,0.0
2019-07-11 11:00:00,18.9,3.0,0.0,0.0
2019-07-11 12:00:00,18.3,2.0,0.0,0.0
2019-07-11 13:00:00,18.5,2.6,0.0,0.3
2019-07-11 14:00:00,18.8,3.7,0.0,0.0
2019-07-11 15:00:00,19.9,4.3,0.0,0.0
2019-07-11 16:00:00,22.0,4.1,12.0,0.0
2019-07-11 17:00:00,23.0,4.6,14.0,0.0
2019-07-11 18:00:00,22.6,4.7,28.0,0.0
2019-07-11 19:00:00,21.5,4.9,16.0,0.0
2019-07-11 20:00:00,21.0,5.4,12.0,0.0
2019-07-11 21:00:00,20.0,2.7,1.0,0.0
2019-07-11 22:00:00,19.4,2.3,0.0,0.0
2019-07-11 23:00:00,18.7,1.9,0.0,0.0
2019-07-12 00:00:00,17.6,1.0,0.0,0.0
2019-07-12 01:00:00,16.9,1.4,0.0,0.0
2019-07-12 02:00:00,15.1,1.6,0.0,0.0
2019-07-12 03:00:00,15.5,2.1,0.0,0.0
2019-07-12 04:00:00,15.4,2.1,0.0,0.0
2019-07-12 05:00:00,15.2,2.3,0.0,0.0
2019-07-12 06:00:00,14.2,2.1,0.0,0.0
2019-07-12 07:00:00,15.3,1.5,2.0,0.0
2019-07-12 08:00:00,16.7,2.2,44.0,0.0
2019-07-12 09:00:00,19.4,1.8,60.0,0.0
2019-07-12 10:00:00,21.9,0.9,49.0,0.0
2019-07-12 11:00:00,24.0,1.2,52.0,0.0
2019-07-12 12:00:00,23.9,2.1,36.0,0.0
2019-07-12 13:00:00,24.6,2.4,16.0,0.0
2019-07-12 14:00:00,25.0,3.5,31.0,0.0
2019-07-12 15:00:00,26.5,4.5,27.0,0.0
2019-07-12 16:00:00,23.9,7.3,27.0,0.0
2019-07-12 17:00:00,21.9,7.7,1.0,0.0
2019-07-12 18:00:00,20.8,6.2,1.0,0.0
2019-07-12 19:00:00,20.4,6.3,0.0,0.0
2019-07-12 20:00:00,19.8,4.6,7.0,0.0
2019-07-12 21:00:00,18.1,4.9,0.0,0.1
2019-07-12 22:00:00,17.2,5.9,0.0,0.0
2019-07-12 23:00:00,14.9,3.7,0.0,11.5
2019-07-13 00:00:00,15.2,2.9,0.0,0.1
2019-07-13 01:00:00,15.3,1.9,0.0,0.0
2019-07-13 02:00:00,15.6,3.6,0.0,0.0
2019-07-13 03:00:00,14.6,3.8,0.0,0.0
2019-07-13 04:00:00,14.5,2.7,0.0,0.0
2019-07-13 05:00:00,14.0,3.1,0.0,0.0
